algorithm,seed,timestep,value,metric
MAPPO,0,1120000,2390.704806854499,avg_latency_ms
MAPPO,0,1130000,2396.9553503093152,avg_latency_ms
MAPPO,0,1140000,1596.7194774764505,avg_latency_ms
MAPPO,0,1150000,1200.093720995295,avg_latency_ms
MAPPO,0,1160000,2044.9186740514403,avg_latency_ms
MAPPO,0,1170000,2029.6504438987288,avg_latency_ms
MAPPO,0,1180000,2043.899176191107,avg_latency_ms
MAPPO,0,1190000,2030.311733732612,avg_latency_ms
MAPPO,0,1200000,2424.9578991373937,avg_latency_ms
MAPPO,0,1210000,2046.623217336012,avg_latency_ms
MAPPO,0,1220000,1608.7185563420633,avg_latency_ms
MAPPO,0,1230000,1612.0233845946964,avg_latency_ms
MAPPO,0,1240000,1616.6625370009383,avg_latency_ms
MAPPO,0,1250000,2414.229061978802,avg_latency_ms
MAPPO,0,1260000,2428.266710143228,avg_latency_ms
MAPPO,0,1270000,2836.9648740661114,avg_latency_ms
MAPPO,0,1280000,2419.407486275314,avg_latency_ms
MAPPO,0,1290000,1601.4223356762425,avg_latency_ms
MAPPO,0,1300000,2003.1563731213537,avg_latency_ms
MAPPO,0,1310000,2006.010719165652,avg_latency_ms
MAPPO,0,1320000,804.1135277991468,avg_latency_ms
MAPPO,0,1330000,2395.932731458118,avg_latency_ms
MAPPO,0,1340000,2006.760584852355,avg_latency_ms
MAPPO,0,1350000,2001.1489167665943,avg_latency_ms
MAPPO,0,1360000,2814.224123320021,avg_latency_ms
MAPPO,0,1370000,2022.1733300279616,avg_latency_ms
MAPPO,0,1380000,1206.429545403969,avg_latency_ms
MAPPO,0,1390000,2017.7947019863448,avg_latency_ms
MAPPO,0,1400000,1998.8841213033625,avg_latency_ms
MAPPO,0,1410000,1979.7466910948149,avg_latency_ms
MAPPO,0,1420000,2366.280539703266,avg_latency_ms
MAPPO,0,1430000,1595.7745505890327,avg_latency_ms
MAPPO,0,1440000,2396.2264454077726,avg_latency_ms
MAPPO,0,1450000,2370.136286456578,avg_latency_ms
MAPPO,0,1460000,1216.9957786861191,avg_latency_ms
MAPPO,0,1470000,3192.559415612402,avg_latency_ms
MAPPO,0,1480000,1982.3839578144168,avg_latency_ms
MAPPO,0,1490000,790.5983958174552,avg_latency_ms
MAPPO,0,1500000,787.8584487268141,avg_latency_ms
MAPPO,0,1510000,1568.4268754886295,avg_latency_ms
MAPPO,0,1520000,1581.488422641412,avg_latency_ms
MAPPO,0,1530000,1995.272385325316,avg_latency_ms
MAPPO,0,1540000,2002.7674476229272,avg_latency_ms
MAPPO,0,1550000,1963.7395475652115,avg_latency_ms
MAPPO,0,1560000,2398.308619996625,avg_latency_ms
MAPPO,0,1570000,2760.8808993916127,avg_latency_ms
MAPPO,0,1580000,2380.1206881686094,avg_latency_ms
MAPPO,0,1590000,2374.593896755775,avg_latency_ms
MAPPO,0,1600000,2378.012354848364,avg_latency_ms
MAPPO,0,1610000,2747.71204042169,avg_latency_ms
MAPPO,0,1620000,1183.6631389407248,avg_latency_ms
MAPPO,0,1630000,1578.6071526775524,avg_latency_ms
MAPPO,0,1640000,1186.2078683736595,avg_latency_ms
MAPPO,0,1650000,3177.059580316471,avg_latency_ms
MAPPO,0,1660000,2382.0507351619235,avg_latency_ms
MAPPO,0,1670000,2359.979842816895,avg_latency_ms
MAPPO,0,1680000,1579.8755147393265,avg_latency_ms
MAPPO,0,1690000,1606.2406181327474,avg_latency_ms
MAPPO,0,1700000,2375.367937572488,avg_latency_ms
MAPPO,0,1710000,1575.7107718449,avg_latency_ms
MAPPO,0,1720000,1975.7802027571456,avg_latency_ms
MAPPO,0,1730000,1960.2284719761649,avg_latency_ms
MAPPO,0,1740000,1990.7955144491063,avg_latency_ms
MAPPO,0,1750000,2384.0076458353583,avg_latency_ms
MAPPO,0,1760000,2363.895642135918,avg_latency_ms
MAPPO,0,1770000,1990.327680437036,avg_latency_ms
MAPPO,0,1780000,2374.833251997788,avg_latency_ms
MAPPO,0,1790000,2752.7713718189525,avg_latency_ms
MAPPO,0,1800000,1577.0783730826795,avg_latency_ms
MAPPO,0,1810000,2361.54565159546,avg_latency_ms
MAPPO,0,1820000,1558.4816531270517,avg_latency_ms
MAPPO,0,1830000,1599.60060842772,avg_latency_ms
MAPPO,0,1840000,2363.837848842936,avg_latency_ms
MAPPO,0,1850000,1565.216633824237,avg_latency_ms
MAPPO,0,1860000,1971.2530210443813,avg_latency_ms
MAPPO,0,1870000,2764.571526957439,avg_latency_ms
MAPPO,0,1880000,1188.001555397069,avg_latency_ms
MAPPO,0,1890000,2751.1416612759845,avg_latency_ms
MAPPO,0,1900000,2761.5508508725675,avg_latency_ms
MAPPO,0,1910000,1958.377321718161,avg_latency_ms
MAPPO,0,1920000,1569.8485374126826,avg_latency_ms
MAPPO,0,1930000,2363.465951712544,avg_latency_ms
MAPPO,0,1940000,2358.7191031438783,avg_latency_ms
MAPPO,0,1950000,1572.139633426712,avg_latency_ms
MAPPO,0,1960000,1981.258818007832,avg_latency_ms
MAPPO,0,1970000,2366.917612430683,avg_latency_ms
MAPPO,0,1980000,2367.403339781717,avg_latency_ms
MAPPO,0,1990000,2390.282260490379,avg_latency_ms
MAPPO,0,2000000,1580.1297535790736,avg_latency_ms
MAPPO,0,2010000,1981.552180240952,avg_latency_ms
MAPPO,0,2020000,2350.3948686466256,avg_latency_ms
MAPPO,0,2030000,2359.528433245162,avg_latency_ms
MAPPO,0,2040000,3540.8966938556614,avg_latency_ms
MAPPO,0,2050000,2379.8007414822123,avg_latency_ms
MAPPO,0,2060000,1975.1618256289785,avg_latency_ms
MAPPO,0,2070000,1559.3699229476315,avg_latency_ms
MAPPO,0,2080000,2324.0598471093144,avg_latency_ms
MAPPO,0,2090000,1173.8024814096966,avg_latency_ms
MAPPO,0,2100000,2323.191606429083,avg_latency_ms
MAPPO,0,2110000,1592.225382391638,avg_latency_ms
MAPPO,0,2120000,1957.3039628746628,avg_latency_ms
MAPPO,0,2130000,3125.701456998765,avg_latency_ms
MAPPO,0,2140000,1965.091870422694,avg_latency_ms
MAPPO,0,2150000,1968.0028433505693,avg_latency_ms
MAPPO,0,2160000,2343.143985310008,avg_latency_ms
MAPPO,0,2170000,1172.1323017318405,avg_latency_ms
MAPPO,0,2180000,2733.1267002244613,avg_latency_ms
MAPPO,0,2190000,1954.79091601876,avg_latency_ms
MAPPO,0,2200000,2765.4398451440625,avg_latency_ms
MAPPO,0,2210000,1963.5560732393133,avg_latency_ms
MAPPO,0,2220000,786.4120969413663,avg_latency_ms
MAPPO,0,2230000,1982.460385237068,avg_latency_ms
MAPPO,0,2240000,2369.756598684785,avg_latency_ms
MAPPO,0,2250000,2351.5948529161296,avg_latency_ms
MAPPO,0,2260000,1577.4517232556304,avg_latency_ms
MAPPO,0,2270000,1967.9726906755843,avg_latency_ms
MAPPO,0,2280000,3182.9231915244573,avg_latency_ms
MAPPO,0,2290000,1568.3882176416053,avg_latency_ms
MAPPO,0,2300000,1572.2491166996945,avg_latency_ms
MAPPO,0,2310000,3274.358643282998,avg_latency_ms
MAPPO,0,2320000,2362.2315253748543,avg_latency_ms
MAPPO,0,2330000,2177.5975051726564,avg_latency_ms
MAPPO,0,2340000,1185.801819267685,avg_latency_ms
MAPPO,0,2350000,3628.638607818831,avg_latency_ms
MAPPO,0,2360000,3742.183744257994,avg_latency_ms
MAPPO,0,2370000,3175.197787189598,avg_latency_ms
MAPPO,0,2380000,3250.777459174559,avg_latency_ms
MAPPO,0,2390000,2757.209869451681,avg_latency_ms
MAPPO,0,2400000,4947.875690125629,avg_latency_ms
MAPPO,0,2410000,2147.4708886719686,avg_latency_ms
MAPPO,0,2420000,3226.0957857003305,avg_latency_ms
MAPPO,0,2430000,3279.527573263073,avg_latency_ms
MAPPO,0,2440000,3325.542692544398,avg_latency_ms
MAPPO,0,2450000,3303.183666471261,avg_latency_ms
MAPPO,0,2460000,3306.456212170296,avg_latency_ms
MAPPO,0,2470000,2207.5350636530097,avg_latency_ms
MAPPO,0,2480000,3282.8783895840825,avg_latency_ms
MAPPO,0,2490000,3836.8739750267778,avg_latency_ms
MAPPO,0,2500000,2169.049399528554,avg_latency_ms
MAPPO,0,2510000,1637.2674858485905,avg_latency_ms
MAPPO,0,2520000,3867.219126592277,avg_latency_ms
MAPPO,0,2530000,2769.0940569363474,avg_latency_ms
MAPPO,0,2540000,2751.774522413728,avg_latency_ms
MAPPO,0,2550000,2242.9258612847643,avg_latency_ms
MAPPO,0,2560000,3311.106166786284,avg_latency_ms
MAPPO,0,2570000,2169.4102088597383,avg_latency_ms
MAPPO,0,2580000,1604.6928249288412,avg_latency_ms
MAPPO,0,2590000,3811.7560972467336,avg_latency_ms
MAPPO,0,2600000,2168.670951323116,avg_latency_ms
MAPPO,0,2610000,3800.301377952544,avg_latency_ms
MAPPO,0,2620000,3325.522927267842,avg_latency_ms
MAPPO,0,2630000,2200.4337744351187,avg_latency_ms
MAPPO,0,2640000,540.9564833827615,avg_latency_ms
MAPPO,0,2650000,2733.4650574668376,avg_latency_ms
MAPPO,0,2660000,2694.534738055755,avg_latency_ms
MAPPO,0,2670000,3194.1203155053527,avg_latency_ms
MAPPO,0,2680000,2489.2118060828616,avg_latency_ms
MAPPO,0,2690000,3656.56735698148,avg_latency_ms
MAPPO,0,2700000,2464.5673071978813,avg_latency_ms
MAPPO,0,2710000,1712.7990093364983,avg_latency_ms
MAPPO,0,2720000,2367.1923114094084,avg_latency_ms
MAPPO,0,2730000,1578.6281468376856,avg_latency_ms
MAPPO,0,2740000,1583.862497788225,avg_latency_ms
MAPPO,0,2750000,2363.805245084772,avg_latency_ms
MAPPO,0,2760000,2758.9333365306934,avg_latency_ms
MAPPO,0,2770000,1592.1821483531346,avg_latency_ms
MAPPO,0,2780000,1178.5168777288,avg_latency_ms
MAPPO,0,2790000,1581.7710412223653,avg_latency_ms
MAPPO,0,2800000,2375.7857233492387,avg_latency_ms
MAPPO,0,2810000,1988.6856233000635,avg_latency_ms
MAPPO,0,2820000,1586.2851379308954,avg_latency_ms
MAPPO,0,2830000,1598.3336934136732,avg_latency_ms
MAPPO,0,2840000,2464.2807367561536,avg_latency_ms
MAPPO,0,2850000,1975.8368771347784,avg_latency_ms
MAPPO,0,2860000,2091.202995456892,avg_latency_ms
MAPPO,0,2870000,3051.9618068349446,avg_latency_ms
MAPPO,0,2880000,2859.846735324224,avg_latency_ms
MAPPO,0,2890000,2015.3598146747763,avg_latency_ms
MAPPO,0,2900000,3498.940678600352,avg_latency_ms
MAPPO,0,2910000,4354.49880757679,avg_latency_ms
MAPPO,0,2920000,3823.543852400564,avg_latency_ms
MAPPO,0,2930000,3111.9331318715144,avg_latency_ms
MAPPO,0,2940000,4706.672227984848,avg_latency_ms
MAPPO,0,2950000,3085.718386084201,avg_latency_ms
MAPPO,0,2960000,2255.765286059336,avg_latency_ms
MAPPO,0,2970000,3316.5651323512334,avg_latency_ms
MAPPO,0,2980000,2199.562210211005,avg_latency_ms
MAPPO,0,2990000,3886.9966509493097,avg_latency_ms
MAPPO,0,3000000,2080.926665411376,avg_latency_ms
MAPPO,0,3010000,3597.9942879924456,avg_latency_ms
MAPPO,0,3020000,2354.4836016586496,avg_latency_ms
MAPPO,0,3030000,1954.5038021450384,avg_latency_ms
MAPPO,0,3040000,1523.0431426870764,avg_latency_ms
MAPPO,0,3050000,3269.6296810171434,avg_latency_ms
MAPPO,0,3060000,2749.788102905942,avg_latency_ms
MAPPO,0,3070000,3858.670329065989,avg_latency_ms
MAPPO,0,3080000,2733.22150062726,avg_latency_ms
MAPPO,0,3090000,1638.0755514841185,avg_latency_ms
MAPPO,0,3100000,3321.44409222902,avg_latency_ms
MAPPO,0,3110000,2108.0276368865184,avg_latency_ms
MAPPO,0,3120000,344.3172493897506,avg_latency_ms
MAPPO,0,3130000,813.4069943703661,avg_latency_ms
MAPPO,0,3140000,1924.7918610766487,avg_latency_ms
MAPPO,0,3150000,1664.9711093496298,avg_latency_ms
MAPPO,0,3160000,1938.925089639742,avg_latency_ms
MAPPO,0,3170000,847.5075389362449,avg_latency_ms
MAPPO,0,3180000,1926.5164914140305,avg_latency_ms
MAPPO,0,3190000,1936.8945898829431,avg_latency_ms
MAPPO,0,3200000,830.9082198053826,avg_latency_ms
MAPPO,0,3210000,1096.5355879413044,avg_latency_ms
MAPPO,0,3220000,1097.8996800927694,avg_latency_ms
MAPPO,0,3230000,1657.5207501371156,avg_latency_ms
MAPPO,0,3240000,823.5167013575149,avg_latency_ms
MAPPO,0,3250000,1664.8597023361758,avg_latency_ms
MAPPO,0,3260000,1375.4078285938335,avg_latency_ms
MAPPO,0,3270000,1382.3871634708116,avg_latency_ms
MAPPO,0,3280000,551.9818691076209,avg_latency_ms
MAPPO,0,3290000,1918.0573388621176,avg_latency_ms
MAPPO,0,3300000,1636.723913411413,avg_latency_ms
MAPPO,0,3310000,545.0089852573462,avg_latency_ms
MAPPO,0,3320000,1958.249437141044,avg_latency_ms
MAPPO,0,3330000,550.9349441840478,avg_latency_ms
MAPPO,0,3340000,1379.0263729055985,avg_latency_ms
MAPPO,0,3350000,1929.1137422001248,avg_latency_ms
MAPPO,0,3360000,1382.932092810211,avg_latency_ms
MAPPO,0,3370000,1376.3415741120712,avg_latency_ms
MAPPO,0,3380000,1087.907045824781,avg_latency_ms
MAPPO,0,3390000,1387.620971456711,avg_latency_ms
MAPPO,0,3400000,1101.3603442438937,avg_latency_ms
MAPPO,0,3410000,1397.0545304027032,avg_latency_ms
MAPPO,0,3420000,1678.4420237132765,avg_latency_ms
MAPPO,0,3430000,1122.1995608929574,avg_latency_ms
MAPPO,0,3440000,1667.3019423817782,avg_latency_ms
MAPPO,0,3450000,1956.4142026721088,avg_latency_ms
MAPPO,0,3460000,1947.970471994976,avg_latency_ms
MAPPO,0,3470000,2030.8238953651803,avg_latency_ms
MAPPO,0,3480000,1392.5618563264572,avg_latency_ms
MAPPO,0,3490000,2870.381158746487,avg_latency_ms
MAPPO,0,3500000,4462.186034791868,avg_latency_ms
MAPPO,0,3510000,3899.375572249368,avg_latency_ms
MAPPO,0,3520000,3498.5486340118323,avg_latency_ms
MAPPO,0,3530000,2886.348137570179,avg_latency_ms
MAPPO,0,3540000,2396.5317305307008,avg_latency_ms
MAPPO,0,3550000,2190.4810480947262,avg_latency_ms
MAPPO,0,3560000,2671.694169585116,avg_latency_ms
MAPPO,0,3570000,1875.001742206964,avg_latency_ms
MAPPO,0,3580000,2171.502510731917,avg_latency_ms
MAPPO,0,3590000,1142.8696632921417,avg_latency_ms
MAPPO,0,3600000,3061.429623591724,avg_latency_ms
MAPPO,0,3610000,2848.5717061414907,avg_latency_ms
MAPPO,0,3620000,1958.102115150032,avg_latency_ms
MAPPO,0,3630000,2798.223690649136,avg_latency_ms
MAPPO,0,3640000,2451.253734692546,avg_latency_ms
MAPPO,0,3650000,2084.338794892316,avg_latency_ms
MAPPO,0,3660000,2133.0965480075274,avg_latency_ms
MAPPO,0,3670000,1626.0088795845784,avg_latency_ms
MAPPO,0,3680000,3820.880622669556,avg_latency_ms
MAPPO,0,3690000,2791.4918734398075,avg_latency_ms
MAPPO,0,3700000,3346.839108974202,avg_latency_ms
MAPPO,0,3710000,3859.501806058595,avg_latency_ms
MAPPO,0,3720000,2215.8417950403964,avg_latency_ms
MAPPO,0,3730000,3771.3718465628745,avg_latency_ms
MAPPO,0,3740000,2144.490981378594,avg_latency_ms
MAPPO,0,3750000,1951.2784391715047,avg_latency_ms
