algorithm,seed,timestep,episode_return_mean
IPPO,0,1896448,-2553.820831239117
IPPO,0,1908736,-2662.1677774935206
IPPO,0,1916928,-2515.2329889286125
IPPO,0,1929216,-2660.070140518092
IPPO,0,1937408,-2486.4950412728435
IPPO,0,1949696,-2464.361078665088
IPPO,0,1957888,-2454.382134934638
IPPO,0,1970176,-2429.3475373587016
IPPO,0,1978368,-2432.095121171358
IPPO,0,1990656,-2422.814695139541
IPPO,0,1998848,-2582.8049624292603
IPPO,0,2011136,-2569.345619602511
IPPO,0,2019328,-2549.883640508002
IPPO,0,2031616,-2458.95075255417
IPPO,0,2039808,-2532.144787558582
IPPO,0,2052096,-2485.5508585655225
IPPO,0,2060288,-2501.8738836367206
IPPO,0,2072576,-2518.1427182209327
IPPO,0,2080768,-2527.027404652092
IPPO,0,2093056,-2530.385204483816
IPPO,0,2101248,-2537.78368074767
IPPO,0,2113536,-2545.475394084236
IPPO,0,2121728,-2540.411988399539
IPPO,0,2134016,-2474.6732390743828
IPPO,0,2142208,-2476.0315020911203
IPPO,0,2154496,-2467.22434337985
IPPO,0,2162688,-2545.377178971533
IPPO,0,2174976,-2554.664164598826
IPPO,0,2183168,-2459.480013147425
IPPO,0,2195456,-2548.655903858149
IPPO,0,2203648,-2440.2008481014523
IPPO,0,2215936,-2440.79831302355
IPPO,0,2224128,-2562.0997163753204
IPPO,0,2236416,-2437.8878735222606
IPPO,0,2244608,-2547.309910826037
IPPO,0,2256896,-2552.423456925883
IPPO,0,2265088,-2449.2211933217327
IPPO,0,2277376,-2466.371880900625
IPPO,0,2285568,-2470.0668386530456
IPPO,0,2297856,-2540.803509035407
IPPO,0,2306048,-2505.042930816991
IPPO,0,2318336,-2549.942487388588
IPPO,0,2326528,-2491.6436716450835
IPPO,0,2338816,-2495.734948500736
IPPO,0,2347008,-2574.20106003932
IPPO,0,2359296,-2572.675005306653
IPPO,0,2367488,-2559.190804034077
IPPO,0,2379776,-2566.5752780794205
IPPO,0,2387968,-2567.3867350157902
IPPO,0,2400256,-2501.321131962117
IPPO,0,2408448,-2505.646117641388
IPPO,0,2420736,-2560.421506195563
IPPO,0,2428928,-2567.057275711366
IPPO,0,2441216,-2564.079349053784
IPPO,0,2449408,-2561.1985661714584
IPPO,0,2461696,-2559.6238169203302
IPPO,0,2469888,-2571.0704814845903
IPPO,0,2482176,-2549.4556306899044
IPPO,0,2490368,-2558.868216624532
IPPO,0,2502656,-2544.0451907498864
IPPO,0,2510848,-2543.773095202775
IPPO,0,2523136,-2547.386135615755
IPPO,0,2531328,-2534.6460443714805
IPPO,0,2543616,-2535.975012611315
IPPO,0,2551808,-2538.744688090182
IPPO,0,2564096,-2554.340765291576
IPPO,0,2572288,-2516.830859194114
IPPO,0,2584576,-2509.733833278874
IPPO,0,2592768,-2510.085391747941
IPPO,0,2605056,-2566.0549754182966
IPPO,0,2613248,-2518.5712553125563
IPPO,0,2625536,-2591.450821783381
IPPO,0,2633728,-2598.543060409196
IPPO,0,2646016,-2610.4406604938185
IPPO,0,2654208,-2498.101698877939
IPPO,0,2666496,-2497.202615065009
IPPO,0,2674688,-2605.9521992213795
IPPO,0,2686976,-2612.4220961312312
IPPO,0,2695168,-2624.839690882749
IPPO,0,2707456,-2491.6185710173654
IPPO,0,2715648,-2501.547853767744
IPPO,0,2727936,-2487.8966975947155
IPPO,0,2736128,-2604.635881877447
IPPO,0,2748416,-2615.9132060630664
IPPO,0,2756608,-2503.25732065559
IPPO,0,2768896,-2609.9736666806984
IPPO,0,2777088,-2511.4055353369104
IPPO,0,2789376,-2605.506566139561
IPPO,0,2797568,-2524.751453016204
IPPO,0,2809856,-2616.75552671488
IPPO,0,2818048,-2525.620058748621
IPPO,0,2830336,-2675.9047371999354
IPPO,0,2838528,-2524.863790837845
IPPO,0,2850816,-2675.264300956632
IPPO,0,2859008,-2518.8950204660964
IPPO,0,2871296,-2509.6348716920925
IPPO,0,2879488,-2496.6334058794355
IPPO,0,2891776,-2707.7359610033272
IPPO,0,2899968,-2689.51192913109
IPPO,0,2912256,-2450.414658091872
IPPO,0,2920448,-2711.7183029961784
IPPO,0,2932736,-2697.9468722718766
IPPO,0,2940928,-2711.0742135320384
IPPO,0,2953216,-2731.630798798065
IPPO,0,2961408,-2445.889592273094
IPPO,0,2973696,-2752.231668076717
IPPO,0,2981888,-2757.685905090208
IPPO,0,2994176,-2491.145935463688
IPPO,0,3002368,-2786.205947280306
IPPO,0,3014656,-2501.5691268359487
IPPO,0,3022848,-2786.181793570394
IPPO,0,3035136,-2802.1268110812885
IPPO,0,3043328,-2781.3187324033543
IPPO,0,3055616,-2778.735253285477
IPPO,0,3063808,-2507.613768585087
IPPO,0,3076096,-2512.917907687565
IPPO,0,3084288,-2504.8344000885
IPPO,0,3096576,-2514.297945689133
IPPO,0,3104768,-2757.1587593662425
IPPO,0,3117056,-2513.9940367241406
IPPO,0,3125248,-2520.0572743798925
IPPO,0,3137536,-2779.1916910242026
IPPO,0,3145728,-2517.9984601323567
IPPO,0,3158016,-2826.02475871091
IPPO,0,3166208,-2485.003695803439
IPPO,0,3178496,-2489.5132583848026
IPPO,0,3186688,-2486.851331342481
IPPO,0,3198976,-2810.507697178381
IPPO,0,3207168,-2479.5876299653364
IPPO,0,3219456,-2812.336268842273
IPPO,0,3227648,-2805.429855906855
IPPO,0,3239936,-2807.5658297441632
IPPO,0,3248128,-2817.035031512621
IPPO,0,3260416,-2482.4031397292665
IPPO,0,3268608,-2845.8184353682736
IPPO,0,3280896,-2450.872330191473
IPPO,0,3289088,-2445.6616170384004
IPPO,0,3301376,-2882.9324339033537
IPPO,0,3309568,-2413.973238058496
IPPO,0,3321856,-2416.064133404483
IPPO,0,3330048,-2421.2650193481
IPPO,0,3342336,-2404.062513721276
IPPO,0,3350528,-2407.465109519196
IPPO,0,3362816,-2850.4512888309782
IPPO,0,3371008,-2839.2316042719544
IPPO,0,3383296,-2844.8160602703497
IPPO,0,3391488,-2425.9445021992688
IPPO,0,3403776,-2425.6558235148245
IPPO,0,3411968,-2456.3326675669377
IPPO,0,3424256,-2830.2816368824338
IPPO,0,3432448,-2451.525670656716
IPPO,0,3444736,-2461.4998052357387
IPPO,0,3452928,-2454.2539555288463
IPPO,0,3465216,-2447.5971127819403
IPPO,0,3473408,-2439.015973869085
IPPO,0,3485696,-2423.153131677181
IPPO,0,3493888,-2859.1508046481754
IPPO,0,3506176,-2862.798835640112
IPPO,0,3514368,-2395.7786385571176
IPPO,0,3526656,-2851.5473398749614
IPPO,0,3534848,-2866.277534111758
IPPO,0,3547136,-2869.863136257925
IPPO,0,3555328,-2864.326308565474
IPPO,0,3567616,-2871.148117779718
IPPO,0,3575808,-2400.7946188268097
IPPO,0,3588096,-2408.980468698552
IPPO,0,3596288,-2894.28110661957
IPPO,0,3608576,-2420.4047383518696
IPPO,0,3616768,-2893.927518627417
IPPO,0,3629056,-2399.4228837024048
IPPO,0,3637248,-2880.795987716972
IPPO,0,3649536,-2882.121185176108
IPPO,0,3657728,-2874.829679029857
IPPO,0,3670016,-2858.079605019944
IPPO,0,3678208,-2364.0949532888267
IPPO,0,3690496,-2841.0682348220475
IPPO,0,3698688,-2337.2548362243647
IPPO,0,3710976,-2345.3479589745084
IPPO,0,3719168,-2824.77540414027
IPPO,0,3731456,-2382.682948286891
IPPO,0,3739648,-2386.8181621558047
IPPO,0,3751936,-2835.405201108432
IPPO,0,3760128,-2850.0869595511026
IPPO,0,3772416,-2857.329620888014
IPPO,0,3780608,-2854.7386258571
IPPO,0,3792896,-2377.5463233030287
IPPO,0,3801088,-2373.9547339651936
IPPO,0,3813376,-2884.6461905197416
IPPO,0,3821568,-2382.231935086161
IPPO,0,3833856,-2875.737950816154
IPPO,0,3842048,-2876.156193539787
IPPO,0,3854336,-2391.540813781391
IPPO,0,3862528,-2894.2107929966883
IPPO,0,3874816,-2910.4673671829187
IPPO,0,3883008,-2901.559470519706
IPPO,0,3895296,-2479.4425739992475
IPPO,0,3903488,-2489.0503625253937
IPPO,0,3915776,-2493.277484284548
IPPO,0,3923968,-2483.93677307364
IPPO,0,3936256,-2977.3930373819976
IPPO,0,3944448,-2530.947151263584
IPPO,0,3956736,-2975.7233543958555
IPPO,0,3964928,-2961.230903706571
IPPO,0,3977216,-2985.0379533157857
IPPO,0,3985408,-2999.152069909175
IPPO,0,3997696,-2549.559409259325
IPPO,0,4005888,-2560.3887936137794
IPPO,0,4018176,-2980.1105886774644
IPPO,0,4026368,-2565.271083015266
IPPO,0,4038656,-2567.941311658561
IPPO,0,4046848,-2958.913366440488
IPPO,0,4059136,-2969.602249268763
IPPO,0,4067328,-2974.443870638298
IPPO,0,4079616,-2950.8560459721293
IPPO,0,4087808,-2928.8046853815704
IPPO,0,4100096,-2590.3928410486283
IPPO,0,4108288,-2585.257287688872
IPPO,0,4120576,-2613.454118973682
IPPO,0,4128768,-2977.523249415562
IPPO,0,4141056,-2972.0303643011384
IPPO,0,4149248,-2968.1749777110604
IPPO,0,4161536,-2963.025362188656
IPPO,0,4169728,-2965.4648476558696
IPPO,0,4182016,-2587.370832533792
IPPO,0,4190208,-2586.461223726973
IPPO,0,4202496,-2585.6060796230927
IPPO,0,4210688,-2936.09043865065
IPPO,0,4222976,-2913.5951593456352
IPPO,0,4231168,-2577.6459199443902
IPPO,0,4243456,-2598.4609289776845
IPPO,0,4251648,-2868.068027763225
IPPO,0,4263936,-2608.77084958939
IPPO,0,4272128,-2863.688559130644
IPPO,0,4284416,-2604.156492468373
IPPO,0,4292608,-2598.902629106855
IPPO,0,4304896,-2863.523469183382
IPPO,0,4313088,-2855.6848781425506
IPPO,0,4325376,-2606.8125334675046
IPPO,0,4333568,-2856.70702663997
IPPO,0,4345856,-2584.7389124838646
IPPO,0,4354048,-2576.933270276163
IPPO,0,4366336,-2817.7310359137828
IPPO,0,4374528,-2800.3078008200955
IPPO,0,4386816,-2565.8043044975434
IPPO,0,4395008,-2582.616306109787
IPPO,0,4407296,-2557.062343726395
IPPO,0,4415488,-2758.4270114906785
IPPO,0,4427776,-2575.604054353402
IPPO,0,4435968,-2565.1178825975458
IPPO,0,4448256,-2773.6457229164894
IPPO,0,4456448,-2777.347078514138
IPPO,0,4468736,-2768.5134976830013
IPPO,0,4476928,-2580.2442235446606
IPPO,0,4489216,-2581.346955264285
IPPO,0,4497408,-2767.8056053775263
IPPO,0,4509696,-2755.400047252894
IPPO,0,4517888,-2750.484371623629
IPPO,0,4530176,-2604.854674110682
IPPO,0,4538368,-2602.491067750989
IPPO,0,4550656,-2608.117535349109
IPPO,0,4558848,-2636.1713501812565
IPPO,0,4571136,-2728.829813763356
IPPO,0,4579328,-2722.3841044510505
IPPO,0,4591616,-2624.788057359907
IPPO,0,4599808,-2734.012701018895
IPPO,0,4612096,-2609.9190798350583
IPPO,0,4620288,-2728.470137653133
IPPO,0,4632576,-2722.354766882172
IPPO,0,4640768,-2709.740007258863
IPPO,0,4653056,-2593.8320131879136
IPPO,0,4661248,-2694.15601298666
IPPO,0,4673536,-2588.698239595722
IPPO,0,4681728,-2583.6826683783493
IPPO,0,4694016,-2579.162891803588
IPPO,0,4702208,-2712.135948079144
IPPO,0,4714496,-2595.985829778746
IPPO,0,4722688,-2718.94989263958
IPPO,0,4734976,-2728.8616200832607
IPPO,0,4743168,-2731.656082363889
IPPO,0,4755456,-2581.6907379756294
IPPO,0,4763648,-2573.8735598621065
IPPO,0,4775936,-2560.787787903464
IPPO,0,4784128,-2562.6272461471367
IPPO,0,4796416,-2565.480715249349
IPPO,0,4804608,-2575.0143965693987
IPPO,0,4816896,-2741.7944246141333
IPPO,0,4825088,-2740.388258201593
IPPO,0,4837376,-2563.2298020722264
IPPO,0,4845568,-2542.7086155980783
IPPO,0,4857856,-2725.5448805707774
IPPO,0,4866048,-2735.464216849317
IPPO,0,4878336,-2519.8749723934634
IPPO,0,4886528,-2711.858866962641
IPPO,0,4898816,-2708.2711335259246
IPPO,0,4907008,-2715.1307097323875
IPPO,0,4919296,-2515.016222128406
IPPO,0,4927488,-2501.080257050613
IPPO,0,4939776,-2709.6911266768952
IPPO,0,4947968,-2489.643641188673
IPPO,0,4960256,-2491.3086097942105
IPPO,0,4968448,-2681.457350703947
IPPO,0,4980736,-2672.566681886856
IPPO,0,4988928,-2666.6544549587616
IPPO,0,5001216,-2477.212925638344
IPPO,1,4096,-2679.371534356724
IPPO,1,12288,-2519.084349421532
IPPO,1,24576,-2579.5330131061705
IPPO,1,32768,-2631.4410514515284
IPPO,1,45056,-2618.412683729523
IPPO,1,53248,-2626.550113102237
IPPO,1,65536,-2610.4485730133565
IPPO,1,73728,-2615.5530616456854
IPPO,1,86016,-2602.6180357877706
IPPO,1,94208,-2619.4837421170496
IPPO,1,106496,-2622.640150622311
IPPO,1,114688,-2625.014553339677
IPPO,1,126976,-2607.156495278892
IPPO,1,135168,-2613.8961747147
IPPO,1,147456,-2628.833813398145
IPPO,1,155648,-2619.9413604506217
IPPO,1,167936,-2618.3941139329545
IPPO,1,176128,-2639.524560442069
IPPO,1,188416,-2611.2862331008296
IPPO,1,196608,-2613.071272902828
IPPO,1,208896,-2617.3830800807195
IPPO,1,217088,-2595.89706140809
IPPO,1,229376,-2634.121732334156
IPPO,1,237568,-2570.27545154433
IPPO,1,249856,-2571.946176482257
IPPO,1,258048,-2629.6500696702574
IPPO,1,270336,-2577.108666636345
IPPO,1,278528,-2622.387189067341
IPPO,1,290816,-2622.713078523356
IPPO,1,299008,-2569.566186104035
IPPO,1,311296,-2571.7763382548123
IPPO,1,319488,-2644.430922568746
IPPO,1,331776,-2560.330708308775
IPPO,1,339968,-2648.0885282786885
IPPO,1,352256,-2564.6994237783742
IPPO,1,360448,-2554.694268365018
IPPO,1,372736,-2666.885387602381
IPPO,1,380928,-2573.3383851112653
IPPO,1,393216,-2660.207316575027
IPPO,1,401408,-2562.880817326552
IPPO,1,413696,-2690.947129330517
IPPO,1,421888,-2590.65566447235
IPPO,1,434176,-2704.079310289707
IPPO,1,442368,-2594.1747347307983
IPPO,1,454656,-2590.527318542516
IPPO,1,462848,-2602.5701938049374
IPPO,1,475136,-2610.562287457112
IPPO,1,483328,-2685.7097795145096
IPPO,1,495616,-2703.7772181577
IPPO,1,503808,-2687.6926330427605
IPPO,1,516096,-2578.319126557397
IPPO,1,524288,-2643.882024590594
IPPO,1,536576,-2624.3242110318224
IPPO,1,544768,-2582.311901938496
IPPO,1,557056,-2651.0699560408702
IPPO,1,565248,-2558.420435627445
IPPO,1,577536,-2640.5603877142885
IPPO,1,585728,-2643.37401465897
IPPO,1,598016,-2550.619055521268
IPPO,1,606208,-2547.221705514112
IPPO,1,618496,-2650.0899837497072
IPPO,1,626688,-2653.687569471792
IPPO,1,638976,-2650.679747459295
IPPO,1,647168,-2659.9709259721863
IPPO,1,659456,-2642.756660911604
IPPO,1,667648,-2549.7748498880883
IPPO,1,679936,-2537.5991246728213
IPPO,1,688128,-2654.5092818404005
IPPO,1,700416,-2665.802461829588
IPPO,1,708608,-2659.480123332285
IPPO,1,720896,-2528.4350741281246
IPPO,1,729088,-2642.1881799355247
IPPO,1,741376,-2653.7056377310164
IPPO,1,749568,-2642.2895746281592
IPPO,1,761856,-2671.628036581161
IPPO,1,770048,-2684.842978205296
IPPO,1,782336,-2683.3353051861595
IPPO,1,790528,-2684.0012037160177
IPPO,1,802816,-2655.666288549802
IPPO,1,811008,-2602.862322001451
IPPO,1,823296,-2691.231873472804
IPPO,1,831488,-2690.8885185753106
IPPO,1,843776,-2619.04754122325
IPPO,1,851968,-2633.1516946786246
IPPO,1,864256,-2707.706973824845
IPPO,1,872448,-2698.138845054864
IPPO,1,884736,-2566.2970029112403
IPPO,1,892928,-2570.0971664390872
IPPO,1,905216,-2726.81690694426
IPPO,1,913408,-2550.5102852083346
IPPO,1,925696,-2542.0963831424583
IPPO,1,933888,-2695.9309420648683
IPPO,1,946176,-2525.8056563849345
IPPO,1,954368,-2508.2034542294605
IPPO,1,966656,-2481.781667384822
IPPO,1,974848,-2686.4713820510133
IPPO,1,987136,-2521.18684456192
IPPO,1,995328,-2683.733158349913
IPPO,1,1007616,-2688.133655770544
IPPO,1,1015808,-2527.4850550139413
IPPO,1,1028096,-2551.0503750695298
IPPO,1,1036288,-2554.806994132856
IPPO,1,1048576,-2548.111415783522
IPPO,1,1056768,-2542.138492138708
IPPO,1,1069056,-2728.998963678641
IPPO,1,1077248,-2550.7736209286377
IPPO,1,1089536,-2559.857369460676
IPPO,1,1097728,-2549.582123910896
IPPO,1,1110016,-2773.2294166553365
IPPO,1,1118208,-2524.913350022943
IPPO,1,1130496,-2797.3458371460647
IPPO,1,1138688,-2541.6559059711635
IPPO,1,1150976,-2544.0637344136976
IPPO,1,1159168,-2543.397566270379
IPPO,1,1171456,-2794.932902513506
IPPO,1,1179648,-2552.950666089232
IPPO,1,1191936,-2536.6310358645405
IPPO,1,1200128,-2544.354185410355
IPPO,1,1212416,-2792.5144368824813
IPPO,1,1220608,-2557.5598070263727
IPPO,1,1232896,-2556.445825096875
IPPO,1,1241088,-2564.054148007614
IPPO,1,1253376,-2743.535222620036
IPPO,1,1261568,-2741.389643326437
IPPO,1,1273856,-2568.1899389760465
IPPO,1,1282048,-2738.2210150823284
IPPO,1,1294336,-2577.374000643811
IPPO,1,1302528,-2730.9852645246547
IPPO,1,1314816,-2582.1073578795867
IPPO,1,1323008,-2571.073259841085
IPPO,1,1335296,-2720.629268660603
IPPO,1,1343488,-2724.233208686365
IPPO,1,1355776,-2731.504471271784
IPPO,1,1363968,-2731.539081680204
IPPO,1,1376256,-2508.4847956289245
IPPO,1,1384448,-2723.424470468317
IPPO,1,1396736,-2724.985961298893
IPPO,1,1404928,-2474.8208016220315
IPPO,1,1417216,-2755.2465793021165
IPPO,1,1425408,-2754.4182949322376
IPPO,1,1437696,-2449.870602873501
IPPO,1,1445888,-2764.545707766984
IPPO,1,1458176,-2450.700945263142
IPPO,1,1466368,-2443.9232275281943
IPPO,1,1478656,-2435.8579137068773
IPPO,1,1486848,-2433.336010504472
IPPO,1,1499136,-2793.835237247873
IPPO,1,1507328,-2805.8379631719554
IPPO,1,1519616,-2787.4769920101944
IPPO,1,1527808,-2385.726322784223
IPPO,1,1540096,-2801.4854555268366
IPPO,1,1548288,-2398.585385989317
IPPO,1,1560576,-2772.738486196611
IPPO,1,1568768,-2371.803231167672
IPPO,1,1581056,-2372.923162081928
IPPO,1,1589248,-2370.053893066859
IPPO,1,1601536,-2760.404649983403
IPPO,1,1609728,-2733.8526556354464
IPPO,1,1622016,-2339.570484300544
IPPO,1,1630208,-2739.116934226312
IPPO,1,1642496,-2321.170279280134
IPPO,1,1650688,-2730.3707578667754
IPPO,1,1662976,-2748.6573686231623
IPPO,1,1671168,-2301.0073056725587
IPPO,1,1683456,-2269.4924886330937
IPPO,1,1691648,-2768.664336875231
IPPO,1,1703936,-2789.7579722190303
IPPO,1,1712128,-2796.452457470978
IPPO,1,1724416,-2786.4592483516217
IPPO,1,1732608,-2795.119027695747
IPPO,1,1744896,-2274.8371640404443
IPPO,1,1753088,-2783.396487476185
IPPO,1,1765376,-2270.6934958308348
IPPO,1,1773568,-2285.1136491265056
IPPO,1,1785856,-2771.1637978617514
IPPO,1,1794048,-2756.831800601786
IPPO,1,1806336,-2751.9084036709155
IPPO,1,1814528,-2307.602500000517
IPPO,1,1826816,-2322.048829735153
IPPO,1,1835008,-2727.482677934446
IPPO,1,1847296,-2761.2226049709047
IPPO,1,1855488,-2340.932764853502
IPPO,1,1867776,-2746.8062756074646
IPPO,1,1875968,-2742.9836739273146
IPPO,1,1888256,-2322.808441492208
IPPO,1,1896448,-2326.649382285199
IPPO,1,1908736,-2696.856533281224
IPPO,1,1916928,-2700.6170335058764
IPPO,1,1929216,-2705.025347691772
IPPO,1,1937408,-2692.809767507801
IPPO,1,1949696,-2327.0289176698125
IPPO,1,1957888,-2330.735183819654
IPPO,1,1970176,-2335.01289906961
IPPO,1,1978368,-2704.001692482306
IPPO,1,1990656,-2717.079799398406
IPPO,1,1998848,-2731.274298099209
IPPO,1,2011136,-2345.0824983905063
IPPO,1,2019328,-2340.898357546356
IPPO,1,2031616,-2347.2251945980825
IPPO,1,2039808,-2782.7634385466054
IPPO,1,2052096,-2776.2918562876475
IPPO,1,2060288,-2363.021522308093
