algorithm,avg_latency_ms,p99_latency_ms,avg_energy_J,deadline_violation_rate,throughput_tps,load_balance_jain
MAPPO,2250.2094592800822,4049.9886082968806,3.9883557543521664,,0.0,0.5341176463405569
IPPO,8425.308301000427,40396.643822858525,6.202246874437625,,0.0004905513936079027,0.9999999986541065
MADDPG,9671.68083984375,13438.419552148434,6.059345188140871,0.9999919986724853,218.90688903808595,1.0
QMIX,5581.017681197149,,5.767105482647343,1.0,265.01137061095096,1.0000000000000002
